,Unnamed: 0,Type,ComplexID,ID,Name,Street,District,Date,Discount,URL,FullName,Rooms,MaxTotalArea,MaxPPSM,MaxTotalPrice,MinTotalArea,MinPPSM,MinTotalPrice,TotalArea,TotalPrice,PPSM,Location
54,74,flat,13,30,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 2",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 2)",1 комната,43.37,20503.0,839383.0,30.01,18967.0,602974.0,30.01-43.37 кв м.,0.6-0.84 млн. грн.,19.0-20.5 тис. грн.,"50.4128835, 30.475994"
55,75,flat,13,30,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 2",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 2)",2 комнаты,67.82,19026.0,1290343.0,58.54,18646.0,1091537.0,58.54-67.82 кв м.,1.09-1.29 млн. грн.,18.6-19.0 тис. грн.,"50.4128835, 30.475994"
56,76,flat,13,30,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 2",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 2)",3 комнаты,130.78,18698.0,2445324.0,78.7,18324.0,1465370.0,78.7-130.78 кв м.,1.47-2.45 млн. грн.,18.3-18.7 тис. грн.,"50.4128835, 30.475994"
57,77,flat,13,30,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 2",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 2)",4 комнаты,90.59,16400.0,1693852.0,90.59,16400.0,1693852.0,90.59-90.59 кв м.,1.69-1.69 млн. грн.,16.4-16.4 тис. грн.,"50.4128835, 30.475994"
58,78,flat,13,30,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 2",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 2)",5 комнат,164.56,16566.0,2698784.0,115.83,16400.0,1899612.0,115.83-164.56 кв м.,1.9-2.7 млн. грн.,16.4-16.6 тис. грн.,"50.4128835, 30.475994"
59,79,flat,13,31,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 3",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 3)",1 комната,39.94,20400.0,814776.0,36.25,19992.0,724710.0,36.25-39.94 кв м.,0.72-0.81 млн. грн.,20.0-20.4 тис. грн.,"50.4128835, 30.475994"
60,80,flat,13,31,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 3",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 3)",2 комнаты,61.94,19720.0,1221457.0,61.94,19326.0,1197052.0,61.94-61.94 кв м.,1.2-1.22 млн. грн.,19.3-19.7 тис. грн.,"50.4128835, 30.475994"
61,81,flat,13,31,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 3",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 3)",3 комнаты,80.36,19380.0,1541787.0,71.24,18992.0,1366811.0,71.24-80.36 кв м.,1.37-1.54 млн. грн.,19.0-19.4 тис. грн.,"50.4128835, 30.475994"
62,82,flat,13,31,ЖК — Медовий,"вул. П.Радченка, 27-29 буд. № 3",Солом'янський р-н,12.2019,"При 100% оплаті:_x000D_
- 10%_x000D_
При 50% оплаті:_x000D_
- 5%_x000D_
",https://kmb.ua/objects/274-zhk-medovij/,"ЖК — Медовий (вул. П.Радченка, 27-29 буд. № 3)",5 комнат,145.38,18176.0,2642427.0,145.38,18176.0,2642427.0,145.38-145.38 кв м.,2.64-2.64 млн. грн.,18.2-18.2 тис. грн.,"50.4128835, 30.475994"
63,130,car,13,30,ЖК — Медовий,"вул. Радченка,27-29",Солом'янський р-н,12.2019,-5%,https://kmb.ua/objects/274-zhk-medovij/?type=4,"ЖК — Медовий вул. Радченка,27-29",,,,9999999.0,,,189000.0,,0.19-10.0 млн. грн.,,"50.4128835, 30.475994"
